sensor,image,method,active_fg_pct,interior_active_pct,components_per_10k_active,small_component_pct,largest_component_px
F,F/roll/png/00002402_F_roll_08.png,Canny,22.900226256829093,0.0,178.6252183866498,51.09612141652614,921.0
F,F/roll/png/00002407_F_roll_01.png,Sauvola,50.93839929932852,33.42339760647371,20.742075026268747,36.18421052631579,22585.0
F,F/roll/png/00002407_F_roll_01.png,Canny,29.38858072319306,0.0,57.7118664112207,42.622950819672134,3768.0
F,F/roll/png/00002428_F_roll_10.png,Sauvola,49.818220266610275,41.50395089139946,33.79481486318814,38.16425120772947,7438.0
F,F/roll/png/00002428_F_roll_10.png,Canny,22.10067425234443,0.0,170.02171272954772,44.37229437229437,695.0
F,F/roll/png/00002446_F_roll_07.png,Sauvola,49.36002648652076,38.202680138716445,34.53639879550741,40.49586776859504,10216.0
F,F/roll/png/00002446_F_roll_07.png,Canny,24.383096527870723,0.0,143.00572022880917,45.85858585858586,1122.0
F,F/roll/png/00002455_F_roll_06.png,Sauvola,49.51104734086619,34.05323351330838,31.22250780562695,50.27624309392265,12032.0
F,F/roll/png/00002455_F_roll_06.png,Canny,25.95847532176928,0.0,133.90800815950516,49.877149877149876,2213.0
F,F/roll/png/00002456_F_roll_02.png,Sauvola,50.18705883197737,35.046000200311916,28.186747936071885,34.51776649746193,8214.0
F,F/roll/png/00002456_F_roll_02.png,Canny,27.13968734965281,0.0,81.75684614366979,42.394822006472495,3188.0
